,0
0,44.0
1,338.0
2,813.0
3,399.0
4,216.0
5,647.0
6,320.0
7,307.0
8,119.0
9,733.0
10,407.0
11,52.0
12,90.0
13,417.0
14,198.0
15,533.0
16,278.0
17,181.0
18,390.0
19,50.0
20,719.0
21,599.0
22,624.0
23,323.0
24,630.0
25,169.0
26,525.0
27,716.0
28,347.0
29,313.0
30,145.0
31,318.0
32,736.0
33,219.0
34,668.0
35,142.0
36,7.0
37,81.0
38,207.0
39,149.0
40,156.0
41,452.0
42,40.0
43,104.0
44,154.0
45,379.0
46,138.0
47,381.0
48,374.0
49,396.0
50,408.0
51,570.0
52,418.0
53,147.0
54,400.0
55,762.0
56,139.0
57,341.0
58,157.0
59,439.0
60,402.0
61,164.0
62,141.0
63,643.0
64,83.0
65,798.0
66,420.0
67,739.0
68,538.0
69,684.0
70,375.0
71,713.0
72,386.0
73,363.0
74,654.0
75,769.0
76,406.0
77,100.0
78,401.0
79,688.0
80,96.0
81,117.0
82,749.0
83,146.0
84,358.0
85,359.0
86,280.0
87,250.0
88,415.0
89,91.0
90,334.0
91,326.0
92,648.0
93,680.0
94,665.0
95,609.0
96,614.0
97,279.0
98,484.0
99,421.0
100,77.0
101,383.0
102,56.0
103,162.0
104,328.0
105,607.0
106,640.0
107,422.0
108,158.0
109,143.0
110,700.0
111,214.0
112,371.0
113,42.0
114,23.0
115,26.0
116,782.0
117,256.0
118,600.0
119,807.0
120,239.0
121,444.0
122,492.0
123,355.0
124,112.0
125,317.0
126,416.0
127,264.0
128,802.0
129,473.0
130,435.0
131,512.0
132,325.0
133,393.0
134,243.0
135,642.0
136,271.0
137,794.0
138,159.0
139,394.0
140,576.0
141,296.0
142,155.0
143,639.0
144,95.0
145,702.0
146,701.0
147,273.0
148,447.0
149,228.0
150,409.0
151,414.0
152,419.0
153,461.0
154,681.0
155,744.0
